State ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total 
Alabama ,0,0,2,34,25,15,6,8,17,11,0,1,5,38,3,0,5,13,183
Alaska ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona ,0,0,0,0,7,215,52,68,50,62,12,107,49,87,50,80,67,57,963
Arkansas ,0,0,0,32,23,17,13,24,13,7,6,6,1,44,16,9,16,8,235
California ,0,0,0,1,2,291,305,81,154,292,67,72,110,297,237,561,585,335,"3,390"
Colorado ,0,0,0,6,621,41,21,66,99,17,36,26,2,62,90,46,57,59,"1,249"
Connecticut ,0,0,6,10,12,0,4,7,2,5,0,7,8,12,1,3,8,1,86
Delaware ,0,0,0,0,12,0,1,0,1,0,0,0,1,2,3,0,0,0,20
Dist of Columbia ,0,0,0,14,3,1,3,0,0,4,2,3,10,8,0,1,3,1,53
Florida ,0,0,12,28,61,33,10,3,3,3,2,9,20,52,5,12,12,6,271
Georgia ,0,0,6,28,27,14,9,2,23,4,4,4,14,46,4,11,13,4,213
Hawaii ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho ,0,0,0,0,0,1,3,139,11,4,9,0,1,5,14,6,5,3,201
Illinois ,0,0,0,553,30,29,137,127,63,12,5,45,22,187,86,36,51,98,"1,481"
Indiana ,0,0,0,180,15,8,11,27,14,3,2,6,7,46,19,9,16,15,378
Iowa ,0,0,0,27,81,13,14,22,12,3,0,5,5,11,24,5,4,16,242
Kansas ,0,0,0,22,89,18,17,17,14,14,4,4,4,20,34,18,12,18,305
Kentucky ,0,0,0,53,11,1,5,5,4,3,3,2,4,13,1,0,1,5,111
Louisiana ,0,0,1,204,101,85,117,91,27,18,10,20,6,155,34,61,41,38,"1,009"
Maine ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
Maryland ,0,0,6,22,49,10,4,10,6,6,0,17,10,25,11,6,31,6,219
Massachusetts ,0,0,3,19,12,0,4,2,3,1,0,6,5,25,7,5,7,10,109
Michigan ,0,0,0,557,14,13,54,43,16,11,1,25,32,141,24,1,16,42,990
Minnesota ,0,0,0,16,48,13,18,31,44,2,1,4,1,34,31,6,3,38,290
Mississippi ,0,0,0,162,34,31,39,89,50,22,31,3,31,103,27,26,25,27,700
Missouri ,0,0,0,126,39,27,17,51,61,12,4,3,6,17,24,10,23,9,429
Montana ,0,0,0,2,75,2,8,12,37,0,2,0,1,1,10,2,3,3,158
Nebraska ,0,0,0,84,194,7,55,45,21,7,11,10,14,42,54,41,19,35,639
Nevada ,0,0,0,0,2,25,14,34,2,9,7,0,12,5,8,3,4,13,138
New Hampshire ,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,5
New Jersey ,0,5,12,16,21,1,3,2,1,6,3,15,2,22,10,6,23,11,159
New Mexico ,0,0,0,0,74,32,20,3,39,5,6,21,4,24,24,19,12,6,289
New York ,59,14,13,68,57,7,30,16,16,32,6,89,28,61,18,19,42,20,595
North Carolina ,0,0,0,2,16,3,2,1,4,2,0,0,2,7,3,0,4,2,48
North Dakota ,0,0,0,3,94,2,12,20,49,2,0,2,1,39,64,12,10,24,334
Ohio ,0,0,0,310,84,11,46,36,13,14,0,4,10,76,21,10,23,12,670
Oklahoma ,0,0,0,16,56,16,17,27,59,4,8,1,1,103,60,9,49,21,447
Oregon ,0,0,0,0,0,0,1,7,7,3,1,0,0,0,7,7,0,2,35
Pennsylvania ,0,0,3,42,145,10,14,8,5,12,0,19,5,33,6,11,17,12,342
Puerto Rico ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Rhode Island ,0,0,0,1,5,0,1,0,0,1,0,0,1,2,1,0,0,2,14
South Carolina ,0,0,0,1,3,0,5,1,3,0,3,1,0,20,3,3,0,6,49
South Dakota ,0,0,0,17,151,6,36,38,48,11,6,4,0,62,57,12,11,35,494
Tennessee ,0,0,0,47,21,13,15,16,5,12,4,2,16,19,17,12,5,3,207
Texas ,0,0,0,202,431,119,128,233,170,40,93,77,20,844,113,253,196,252,"3,171"
Utah ,0,0,0,0,0,6,21,56,28,6,1,1,1,3,4,1,5,7,140
Vermont ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,5
Virginia ,0,0,0,16,19,5,0,0,3,0,5,4,8,20,6,5,13,6,110
Washington ,0,0,0,0,0,0,0,0,0,2,26,1,0,4,0,7,8,8,56
West Virginia ,0,0,0,3,1,0,0,1,0,1,0,0,2,5,1,0,0,0,14
Wisconsin ,0,0,0,22,7,5,11,11,7,4,1,0,2,44,17,3,6,10,150
Wyoming ,0,0,0,0,92,2,6,15,23,0,4,2,1,3,16,0,3,8,175
